time,open,high,low,close,volume
090000,2137000,2149000,2122000,2141000,346674
090500,2139000,2179000,2135000,2178000,151883
091000,2179000,2180000,2152000,2167000,120238
091500,2167000,2169000,2143000,2148000,85766
092000,2147000,2162000,2141000,2157000,66998
092500,2156000,2179000,2152000,2168000,55180
093000,2169000,2170000,2125000,2138000,117949
093500,2139000,2152000,2133000,2146500,79369
094000,2146500,2148000,2121000,2131000,66890
094500,2132000,2136000,2120000,2134000,49962
095000,2134000,2139000,2118000,2136000,54267
095500,2136000,2137000,2122000,2125000,40974
100000,2126000,2137000,2117000,2136500,63042
100500,2136500,2137000,2121000,2123000,35927
101000,2123000,2138000,2118000,2132000,39713
101500,2132000,2156000,2125000,2155000,60867
102000,2154000,2156000,2138000,2138000,39248
102500,2139000,2149000,2132000,2144000,30661
103000,2143500,2147000,2123000,2137000,51475
103500,2137000,2142000,2125000,2138500,39384
104000,2139000,2141000,2124000,2128000,34466
104500,2128000,2130500,2117000,2125000,65489
105000,2126000,2128000,2113000,2116000,45573
105500,2116000,2121000,2110000,2110000,37605
110000,2111000,2113000,2100000,2104000,46458
110500,2103000,2104500,2090000,2090000,53575
111000,2091000,2100000,2089000,2090000,48722
111500,2090000,2099000,2081000,2093000,41196
112000,2093000,2098000,2082000,2083000,40170
112500,2083500,2093000,2072500,2090000,57516
113000,2091000,2097000,2079000,2080000,36707
113500,2081000,2089000,2076000,2079500,33069
114000,2079500,2095000,2078000,2094000,28053
114500,2093000,2108000,2092000,2106500,36236
115000,2107000,2111000,2089000,2093000,37198
115500,2093000,2100000,2091000,2094000,22030
120000,2093000,2104000,2093000,2104000,29489
120500,2104000,2114000,2103000,2112000,28686
121000,2112000,2114000,2105000,2106000,25478
121500,2106000,2116000,2105000,2107000,23057
122000,2107000,2108000,2099000,2102000,22365
122500,2101000,2104000,2091000,2096000,22724
123000,2096000,2097000,2089000,2093000,28855
123500,2092000,2094000,2086000,2088000,18935
124000,2089000,2089000,2080000,2082000,21669
124500,2081000,2088000,2078000,2078000,31456
125000,2078000,2084000,2072000,2083000,37717
125500,2083000,2083000,2072000,2079000,31998
130000,2078000,2084000,2065000,2066000,42895
130500,2065000,2070000,2060000,2061000,40910
131000,2061000,2068000,2056000,2057000,46562
131500,2058000,2064000,2053000,2062000,44375
132000,2062000,2072000,2038000,2038000,101977
132500,2039000,2046000,2023000,2025000,69451
133000,2024000,2031000,2020000,2027000,73441
133500,2027000,2032000,2015000,2018000,73036
134000,2019000,2027000,2007000,2007000,62180
134500,2008000,2030000,2004000,2026000,88697
135000,2026000,2044000,2025000,2039000,89003
135500,2039000,2042000,2010000,2017000,54942
140000,2018000,2026000,2010000,2019000,44325
140500,2019000,2033000,2014000,2018000,55074
141000,2018000,2028000,2012000,2022000,33113
141500,2021000,2022000,2004000,2005000,66269
142000,2004000,2008000,2000000,2006000,69801
142500,2007000,2029000,2001000,2029000,50566
143000,2029000,2030000,2009000,2010000,53744
143500,2010000,2010000,2002000,2008000,53072
144000,2008000,2015000,2001000,2006000,50039
144500,2006000,2010000,2001000,2004000,50728
145000,2004000,2007000,1992000,2006000,143081
145500,2005500,2012000,1997000,2000000,71968
