time,open,high,low,close,volume
090000,2352000,2377000,2322000,2338000,619465
090500,2338000,2347000,2325000,2347000,190101
091000,2346000,2361000,2341000,2359000,174950
091500,2359000,2374000,2357000,2373000,139291
092000,2374000,2379000,2358000,2360000,124305
092500,2360000,2363000,2349000,2357000,99881
093000,2357000,2365000,2355000,2356000,51698
093500,2356000,2366000,2355000,2362500,54756
094000,2362000,2370000,2351000,2364000,81044
094500,2364000,2364000,2346000,2346000,55938
095000,2347000,2359000,2344000,2345000,62403
095500,2345000,2348000,2332000,2333000,60929
100000,2333000,2344000,2320000,2330000,83773
100500,2330000,2348000,2330000,2346000,51884
101000,2345000,2355000,2341000,2345000,49980
101500,2345000,2349000,2337000,2346000,30755
102000,2346000,2346000,2337000,2338500,36663
102500,2338500,2340000,2330000,2332000,43934
103000,2333000,2339000,2328000,2331000,49285
103500,2330000,2332000,2321000,2323000,56939
104000,2323000,2337000,2321000,2337000,41108
104500,2337000,2338000,2325000,2327000,31114
105000,2326000,2331000,2324000,2328500,31005
105500,2328500,2334000,2323000,2324000,37096
110000,2323500,2330000,2321000,2325000,44013
110500,2325000,2326000,2316000,2318000,56045
111000,2317000,2321000,2316000,2318000,32577
111500,2319000,2326000,2314000,2321000,39709
112000,2321000,2322000,2310000,2310000,43571
112500,2310000,2311000,2300000,2301000,67131
113000,2300000,2322000,2300000,2314000,49102
113500,2314000,2314000,2304000,2308000,31788
114000,2308000,2310000,2301000,2301000,25784
114500,2302000,2306000,2296000,2296500,43750
115000,2296500,2300000,2290500,2296000,42761
115500,2298000,2311000,2297000,2300000,37304
120000,2301000,2319000,2300000,2318000,38759
120500,2318000,2330000,2313000,2329000,57977
121000,2330000,2330000,2313000,2315000,24103
121500,2315000,2322000,2311000,2316000,21861
122000,2317000,2324000,2315000,2318000,26225
122500,2319000,2320000,2312000,2318000,22203
123000,2318000,2320000,2309000,2312000,33589
123500,2313000,2315000,2308000,2313000,19898
124000,2312000,2319000,2308000,2312000,24022
124500,2312000,2320000,2309000,2320000,17416
125000,2319000,2323000,2311000,2315000,23701
125500,2315000,2319000,2313000,2319000,18458
130000,2319000,2322000,2311000,2312000,28497
130500,2312000,2314000,2308000,2312000,37260
131000,2313000,2316500,2308000,2310000,36018
131500,2310000,2318000,2309000,2317000,27646
132000,2316000,2319000,2309000,2310000,25042
132500,2310000,2317000,2309000,2316000,38343
133000,2315500,2322000,2314000,2321000,38656
133500,2321000,2328000,2320000,2323000,45485
134000,2322500,2323000,2319000,2322000,23506
134500,2322000,2323000,2317000,2321000,32446
135000,2320000,2322000,2315000,2319000,29726
135500,2318000,2320000,2311000,2312000,26164
140000,2312000,2319000,2312000,2316000,31983
140500,2316000,2320000,2313000,2318000,34148
141000,2317000,2319000,2315000,2317500,24143
141500,2318000,2318000,2311000,2313000,36901
142000,2312000,2316000,2309000,2311000,45017
142500,2310500,2312000,2305000,2305000,53990
143000,2306000,2311000,2303000,2308000,42523
143500,2308000,2308000,2301000,2302000,44240
144000,2302000,2306500,2300000,2306000,38591
144500,2305000,2309000,2302000,2303000,43265
145000,2303000,2304000,2300000,2302000,43873
145500,2303000,2304000,2300000,2300000,42913
