time,open,high,low,close,volume
090000,208500,209000,207500,209000,1226991
090500,209000,209000,207500,207750,388254
091000,207750,208500,207750,208000,247594
091500,208500,208500,207000,207000,291571
092000,207500,208000,207000,207500,329744
092500,207500,208000,206000,206250,355563
093000,206000,207500,206000,207000,260754
093500,207000,208000,207000,208000,289856
094000,207750,208500,207000,207750,282047
094500,207750,208000,207500,208000,182662
095000,207750,209500,207750,209500,589466
095500,209500,209500,208500,208750,340375
100000,209000,209500,208750,209000,266487
100500,209500,209500,208500,209000,234390
101000,209000,209500,208500,209000,286036
101500,209250,209500,209000,209500,121185
102000,209500,210000,209000,210000,426360
102500,209500,210000,209500,209750,225739
103000,209750,210500,209750,210500,484346
103500,210500,211000,209500,210000,478650
104000,210500,210500,209000,210000,304689
104500,210250,210500,210000,210000,141328
105000,210500,210500,209000,209250,208320
105500,209250,209500,208500,209000,226350
110000,208750,209000,208000,208500,302358
110500,208250,209000,208000,209000,199218
111000,208750,209000,208000,208250,155263
111500,208250,209000,208000,208500,188413
112000,208250,209000,207500,208500,248993
112500,208500,209000,208500,208750,68134
113000,208750,209500,208500,209000,130567
113500,209500,209500,209000,209500,68854
114000,209500,210000,208500,208750,218158
114500,208750,209000,208500,208750,61890
115000,208500,209000,208500,208750,82019
115500,208750,209000,208000,208000,121619
120000,208000,208500,208000,208250,96214
120500,208500,208500,208000,208000,73417
121000,208000,208500,207500,207750,207817
121500,208000,208500,207500,208250,131036
122000,208000,208250,207500,208000,80702
122500,208000,208000,207500,207750,74856
123000,207750,208500,207500,208000,199122
123500,208000,208500,208000,208250,46007
124000,208000,208500,207500,208000,133091
124500,207750,208000,207500,207750,71423
125000,207750,208000,207500,208000,85110
125500,208000,208500,207500,207750,256969
130000,207750,208500,207500,208000,176721
130500,208000,208000,207000,207250,167043
131000,207250,208000,207000,207750,197496
131500,207500,208000,207500,207750,60496
132000,207500,208000,207000,207500,119800
132500,207250,208000,207000,208000,138154
133000,207500,208000,207500,207750,70813
133500,208000,208000,207500,207750,124359
134000,207750,208000,207500,207750,87358
134500,207500,208000,207000,207750,232973
135000,207500,208000,207000,207500,140816
135500,207500,208000,207000,207000,245166
140000,207500,207500,207000,207500,132205
140500,207250,207500,207250,207500,100326
141000,207250,207500,207000,207500,116235
141500,207500,207500,206500,206500,336212
142000,206500,208000,206500,207750,313975
142500,207500,208000,207000,207250,210094
143000,207000,207500,206500,207000,143268
143500,206750,207000,206500,206500,134575
144000,206500,207000,206000,206250,255069
144500,206250,206500,206000,206250,117611
145000,206250,206500,206000,206000,108387
145500,206000,206500,206000,206500,111770
