time,open,high,low,close,volume
090000,176761,176761,172000,173809,33474
090500,173714,174380,172000,172285,14126
091000,172285,172285,170666,170857,21564
091500,170761,171142,170000,170095,18179
092000,170095,170857,169523,170476,20668
092500,170476,170904,169904,170666,17623
093000,170666,171428,170666,171333,9526
093500,171333,171809,170952,171047,17207
094000,171047,171428,170666,170952,9224
094500,170952,171428,170571,170952,12011
095000,170952,172095,170666,171904,13624
095500,172000,172190,171238,171428,7664
100000,171428,172952,171333,172666,12734
100500,172761,172952,171904,172761,7405
101000,172761,172857,172285,172476,4924
101500,172380,172476,171428,171809,9407
102000,171904,172190,170952,171047,6041
102500,171047,171142,169904,170095,12842
103000,170190,170285,169714,170000,11564
103500,170000,170761,169904,170476,10457
104000,170476,170476,170095,170285,5521
104500,170285,170952,170095,170952,5348
105000,170666,171714,170666,171333,8761
105500,171333,171714,171142,171428,4627
110000,171428,171666,171142,171428,5366
110500,171333,171619,170857,170857,5289
111000,170857,171333,170571,171142,5936
111500,171142,171619,171047,171619,3856
112000,171523,171619,171142,171333,4710
112500,171333,171428,170666,170952,5334
113000,170857,170857,169523,170000,23237
113500,170000,170380,169523,169809,15027
114000,169809,170476,169714,169809,7573
114500,169904,170095,169714,169904,6399
115000,169809,170095,169714,169904,3031
115500,169857,170190,169714,169809,5224
120000,169809,169809,169523,169809,6966
120500,169809,170190,169619,170095,5794
121000,170095,170095,169619,169714,3510
121500,169619,169952,169619,169904,3079
122000,169809,170000,169714,169904,3722
122500,169904,170285,169714,170095,4218
123000,170095,170095,169714,169904,4728
123500,169904,170285,169714,170190,5484
124000,170095,170190,169904,170000,3371
124500,170000,170000,169714,169904,4118
125000,169904,170095,169809,170000,3742
125500,169904,170095,169714,169809,4715
130000,169904,170190,169809,170000,5098
130500,170095,170857,169904,170666,6752
131000,170666,171142,170380,170857,5641
131500,170952,171333,170761,170761,4488
132000,170761,171142,170761,170952,3866
132500,170952,170952,170571,170761,4329
133000,170761,170761,170380,170476,4231
133500,170476,170571,170095,170380,5894
134000,170476,170476,170190,170380,3541
134500,170380,170476,170095,170095,4054
135000,170190,170190,169761,169809,6517
135500,169809,169809,169714,169809,3510
140000,169809,170476,169714,170190,4795
140500,170190,170571,170095,170095,4738
141000,170095,170285,169904,169904,3659
141500,170000,170000,169714,169904,3717
142000,169904,170190,169809,170095,3686
142500,170000,170095,169714,169904,4208
143000,169904,170190,169809,170000,3460
143500,170000,170476,169904,170476,4785
144000,170476,170666,170000,170000,5850
144500,170000,170000,169714,169809,9508
145000,169809,170190,169714,169904,3437
145500,169904,170285,169904,170000,4481
